W,Tag,Class,D(x)
not,R,MN,-0.00132703
bad,A,MN,-0.00104638
even,R,MN,-0.00067448
never,R,MN,-0.00062911
terrible,A,MN,-0.00048753
worst,A,MN,-0.0004404
then,R,MN,-0.00043604
so,R,MN,-0.00042665
horrible,A,MN,-0.00039444
ever,R,MN,-0.00037732
poor,A,MN,-0.00037713
just,R,MN,-0.00037416
awful,A,MN,-0.00033877
only,R,MN,-0.00029668
boring,A,MN,-0.00017088
stupid,A,MN,-0.00016195
disappointing,A,MN,-0.00015851
wrong,A,MN,-0.0001408
disappointed,A,MN,-0.00013487
poorly,R,MN,-0.00013356
finally,R,MN,-0.00013328
rude,A,MN,-0.0001329
least,A,MN,-0.00013252
completely,R,MN,-0.0001307
actually,R,MN,-0.00012054
sorry,A,MN,-0.00011708
else,R,MN,-0.00011262
instead,R,MN,-0.00011047
worse,A,MN,-0.00010315
mediocre,A,MN,-0.00010084
back,R,MN,-0.00009733
only,A,MN,-0.00009092
ridiculous,A,MN,-0.00008847
empty,A,MN,-0.00008713
rubbish,A,MN,-0.0000871
entire,A,MN,-0.00008417
extremely,R,MN,-0.00008043
whatsoever,R,MN,-0.00007953
maybe,R,MN,-0.00007824
tasteless,A,MN,-0.00006974
apparently,R,MN,-0.00006611
whole,A,MN,-0.0000634
totally,R,MN,-0.00006271
complete,A,MN,-0.0000624
dry,A,MN,-0.00006177
seriously,R,MN,-0.00005693
lame,A,MN,-0.00005652
pathetic,A,MN,-0.0000559
later,R,MN,-0.00005509
barely,R,MN,-0.0000547
total,A,MN,-0.00005143
badly,R,MN,-0.00005065
about,R,MN,-0.00005046
simply,R,MN,-0.00004919
pointless,A,MN,-0.00004796
there,R,MN,-0.0000478
unfortunately,R,MN,-0.0000466
cold,A,MN,-0.00004595
honestly,R,MN,-0.00004585
same,A,MN,-0.00004508
basically,R,MN,-0.0000448
inedible,A,MN,-0.00004467
cheap,A,MN,-0.00004434
plain,A,MN,-0.00004358
dumb,A,MN,-0.00004357
absolutely,R,MN,-0.00004277
away,R,MN,-0.00004236
redeeming,A,MN,-0.00004186
obviously,R,MN,-0.00004182
no,R,MN,-0.00004147
such,A,MN,-0.00003808
worst,R,MN,-0.00003774
dull,A,MN,-0.00003757
almost,R,MN,-0.00003683
low,A,MN,-0.00003664
single,A,MN,-0.00003563
painful,A,MN,-0.00003557
utterly,R,MN,-0.00003457
lousy,A,MN,-0.00003392
other,A,MN,-0.00003389
dreadful,A,MN,-0.00003344
possibly,R,MN,-0.00003302
positive,A,MN,-0.00003212
sick,A,MN,-0.00003212
literally,R,MN,-0.00003155
clearly,R,MN,-0.00003133
laughable,A,MN,-0.00003126
now,R,MN,-0.00003097
forever,R,MN,-0.00003058
ready,A,MN,-0.00003018
tiny,A,MN,-0.0000287
crappy,A,MN,-0.00002867
obvious,A,MN,-0.0000285
burnt,A,MN,-0.00002848
predictable,A,MN,-0.00002835
already,R,MN,-0.00002834
horribly,R,MN,-0.00002811
hardly,R,MN,-0.00002791
annoying,A,MN,-0.00002745
unwatchable,A,MN,-0.00002677
needless,A,MN,-0.00002676
bland,A,MN,-0.00002663
either,R,MN,-0.00002637
hungry,A,MN,-0.00002633
long,R,MN,-0.00002628
somewhere,R,MN,-0.00002587
pretentious,A,MN,-0.00002577
far,R,MN,-0.00002551
atrocious,A,MN,-0.00002549
twice,R,MN,-0.00002542
elsewhere,R,MN,-0.00002531
terribly,R,MN,-0.00002488
unpleasant,A,MN,-0.00002465
impossible,A,MN,-0.0000246
angry,A,MN,-0.00002417
possible,A,MN,-0.00002388
