W,Tag,Class,D(x)
great,A,MP,0.00229771
excellent,A,MP,0.00127817
very,R,MP,0.00099564
wonderful,A,MP,0.00085351
best,A,MP,0.00063848
always,R,MP,0.00062238
delicious,A,MP,0.00049186
definitely,R,MP,0.00048795
amazing,A,MP,0.00048697
outstanding,A,MP,0.00045273
well,R,MP,0.000411
perfect,A,MP,0.00040293
fantastic,A,MP,0.00037874
friendly,A,MP,0.00035521
favorite,A,MP,0.0003296
attentive,A,MP,0.0003048
also,R,MP,0.00026629
nice,A,MP,0.00025307
highly,R,MP,0.00021674
beautiful,A,MP,0.00021431
special,A,MP,0.00019482
awesome,A,MP,0.00018066
helpful,A,MP,0.0001716
fresh,A,MP,0.0001617
fabulous,A,MP,0.00015575
perfectly,R,MP,0.0001548
lovely,A,MP,0.00012847
absolutely,R,MP,0.0001259
incredible,A,MP,0.00012525
as,R,MP,0.00012503
most,R,MP,0.00012416
terrific,A,MP,0.00012409
especially,R,MP,0.0001223
truly,R,MP,0.00012154
first,A,MP,0.00012094
romantic,A,MP,0.00011959
again,R,MP,0.00011673
ever,R,MP,0.00011466
superb,A,MP,0.00011323
easy,A,MP,0.00011047
comfortable,A,MP,0.0001102
enjoyable,A,MP,0.00010866
top,A,MP,0.00010745
knowledgeable,A,MP,0.00010469
unique,A,MP,0.00010438
happy,A,MP,0.00010206
quiet,A,MP,0.00010047
new,A,MP,0.00010014
little,A,MP,0.00009597
beautifully,R,MP,0.0000934
exceptional,A,MP,0.00009266
different,A,MP,0.0000918
prepared,A,MP,0.00008795
reasonable,A,MP,0.00008406
TRUE,A,MP,0.0000781
brilliant,A,MP,0.0000769
here,R,MP,0.00007386
own,A,MP,0.0000733
able,A,MP,0.00007181
pleasant,A,MP,0.0000709
delightful,A,MP,0.00006913
soon,R,MP,0.00006853
often,R,MP,0.00006795
professional,A,MP,0.0000676
impeccable,A,MP,0.00006755
usual,A,MP,0.00006738
right,R,MP,0.00006585
back,R,MP,0.00006504
thoroughly,R,MP,0.00006401
clean,A,MP,0.000064
large,A,MP,0.0000619
pleased,A,MP,0.00005939
young,A,MP,0.0000566
yet,R,MP,0.0000564
creative,A,MP,0.00005584
consistently,R,MP,0.00005575
memorable,A,MP,0.00005434
powerful,A,MP,0.0000536
